# Class,ClassFullyQualified Removed, ClassFullyQualified New
LinearSnapHelper,AndroidX.AppCompat.Widget.LinearSnapHelper,AndroidX.RecyclerView.Widget.LinearSnapHelper
OrientationHelper,AndroidX.AppCompat.Widget.OrientationHelper,AndroidX.RecyclerView.Widget.OrientationHelper
PagerSnapHelper,AndroidX.AppCompat.Widget.PagerSnapHelper,AndroidX.RecyclerView.Widget.PagerSnapHelper
RecyclerView,AndroidX.AppCompat.Widget.RecyclerView,AndroidX.RecyclerView.Widget.RecyclerView
RecyclerViewAccessibilityDelegate,AndroidX.AppCompat.Widget.RecyclerViewAccessibilityDelegate,AndroidX.RecyclerView.Widget.RecyclerViewAccessibilityDelegate
RoundRectDrawableWithShadow,AndroidX.AppCompat.Widget.RoundRectDrawableWithShadow,AndroidX.CardView.Widget.RoundRectDrawableWithShadow
SimpleItemAnimator,AndroidX.AppCompat.Widget.SimpleItemAnimator,AndroidX.RecyclerView.Widget.SimpleItemAnimator
SnapHelper,AndroidX.AppCompat.Widget.SnapHelper,AndroidX.RecyclerView.Widget.SnapHelper
StaggeredGridLayoutManager,AndroidX.AppCompat.Widget.StaggeredGridLayoutManager,AndroidX.RecyclerView.Widget.StaggeredGridLayoutManager
ArrayLinkedVariables,AndroidX.ConstraintLayout.Widget.Solver.ArrayLinkedVariables,AndroidX.ConstraintLayout.Solver.ArrayLinkedVariables
ArrayRow,AndroidX.ConstraintLayout.Widget.Solver.ArrayRow,AndroidX.ConstraintLayout.Solver.ArrayRow
Cache,AndroidX.ConstraintLayout.Widget.Solver.Cache,AndroidX.ConstraintLayout.Solver.Cache
GoalRow,AndroidX.ConstraintLayout.Widget.Solver.GoalRow,AndroidX.ConstraintLayout.Solver.GoalRow
LinearSystem,AndroidX.ConstraintLayout.Widget.Solver.LinearSystem,AndroidX.ConstraintLayout.Solver.LinearSystem
Metrics,AndroidX.ConstraintLayout.Widget.Solver.Metrics,AndroidX.ConstraintLayout.Solver.Metrics
SolverVariable,AndroidX.ConstraintLayout.Widget.Solver.SolverVariable,AndroidX.ConstraintLayout.Solver.SolverVariable
Barrier,AndroidX.ConstraintLayout.Widget.Solver.Widgets.Barrier,AndroidX.ConstraintLayout.Solver.Widgets.Barrier
ConstraintAnchor,AndroidX.ConstraintLayout.Widget.Solver.Widgets.ConstraintAnchor,AndroidX.ConstraintLayout.Solver.Widgets.ConstraintAnchor
ConstraintHorizontalLayout,AndroidX.ConstraintLayout.Widget.Solver.Widgets.ConstraintHorizontalLayout,AndroidX.ConstraintLayout.Solver.Widgets.ConstraintHorizontalLayout
ConstraintTableLayout,AndroidX.ConstraintLayout.Widget.Solver.Widgets.ConstraintTableLayout,AndroidX.ConstraintLayout.Solver.Widgets.ConstraintTableLayout
ConstraintWidget,AndroidX.ConstraintLayout.Widget.Solver.Widgets.ConstraintWidget,AndroidX.ConstraintLayout.Solver.Widgets.ConstraintWidget
ConstraintWidgetContainer,AndroidX.ConstraintLayout.Widget.Solver.Widgets.ConstraintWidgetContainer,AndroidX.ConstraintLayout.Solver.Widgets.ConstraintWidgetContainer
Guideline,AndroidX.ConstraintLayout.Widget.Solver.Widgets.Guideline,AndroidX.ConstraintLayout.Solver.Widgets.Guideline
Helper,AndroidX.ConstraintLayout.Widget.Solver.Widgets.Helper,AndroidX.ConstraintLayout.Solver.Widgets.Helper
Optimizer,AndroidX.ConstraintLayout.Widget.Solver.Widgets.Optimizer,AndroidX.ConstraintLayout.Solver.Widgets.Optimizer
Rectangle,AndroidX.ConstraintLayout.Widget.Solver.Widgets.Rectangle,AndroidX.ConstraintLayout.Solver.Widgets.Rectangle
ResolutionAnchor,AndroidX.ConstraintLayout.Widget.Solver.Widgets.ResolutionAnchor,AndroidX.ConstraintLayout.Solver.Widgets.ResolutionAnchor
ResolutionDimension,AndroidX.ConstraintLayout.Widget.Solver.Widgets.ResolutionDimension,AndroidX.ConstraintLayout.Solver.Widgets.ResolutionDimension
ResolutionNode,AndroidX.ConstraintLayout.Widget.Solver.Widgets.ResolutionNode,AndroidX.ConstraintLayout.Solver.Widgets.ResolutionNode
Snapshot,AndroidX.ConstraintLayout.Widget.Solver.Widgets.Snapshot,AndroidX.ConstraintLayout.Solver.Widgets.Snapshot
