StringDef,android.support.annotation.StringDef,androidx.annotation.StringDef,,,android.support.annotation,androidx.annotation,,
StringRes,android.support.annotation.StringRes,androidx.annotation.StringRes,,,android.support.annotation,androidx.annotation,,
StyleableRes,android.support.annotation.StyleableRes,androidx.annotation.StyleableRes,,,android.support.annotation,androidx.annotation,,
StyleRes,android.support.annotation.StyleRes,androidx.annotation.StyleRes,,,android.support.annotation,androidx.annotation,,
TransitionRes,android.support.annotation.TransitionRes,androidx.annotation.TransitionRes,,,android.support.annotation,androidx.annotation,,
UiThread,android.support.annotation.UiThread,androidx.annotation.UiThread,,,android.support.annotation,androidx.annotation,,
WorkerThread,android.support.annotation.WorkerThread,androidx.annotation.WorkerThread,,,android.support.annotation,androidx.annotation,,
XmlRes,android.support.annotation.XmlRes,androidx.annotation.XmlRes,,,android.support.annotation,androidx.annotation,,
R,android.support.compat.R,androidx.core.R,,,android.support.compat,androidx.core,,
R,android.support.constraint.R,androidx.constraintlayout.widget.R,,,android.support.constraint,androidx.constraintlayout.widget,,
Pools,android.support.constraint.solver.Pools,androidx.constraintlayout.solver.Pools,,,android.support.constraint.solver,androidx.constraintlayout.solver,,
Chain,android.support.constraint.solver.widgets.Chain,androidx.constraintlayout.solver.widgets.Chain,,,android.support.constraint.solver.widgets,androidx.constraintlayout.solver.widgets,,
InMemoryCursor,android.support.content.InMemoryCursor,androidx.contentpager.content.InMemoryCursor,,,android.support.content,androidx.contentpager.content,,
R,android.support.coordinatorlayout.R,androidx.coordinatorlayout.R,,,android.support.coordinatorlayout,androidx.coordinatorlayout,,
R,android.support.customtabs.R,androidx.browser.R,,,android.support.customtabs,androidx.browser,,
MaterialButtonBackgroundDrawable,android.support.design.button.MaterialButtonBackgroundDrawable,com.google.android.material.button.MaterialButtonBackgroundDrawable,,,android.support.design.button,com.google.android.material.button,,
MaterialButtonHelper,android.support.design.button.MaterialButtonHelper,com.google.android.material.button.MaterialButtonHelper,,,android.support.design.button,com.google.android.material.button,,
MaterialCardViewHelper,android.support.design.card.MaterialCardViewHelper,com.google.android.material.card.MaterialCardViewHelper,,,android.support.design.card,com.google.android.material.card,,
CircularRevealWidget,android.support.design.circularreveal.CircularRevealWidget,com.google.android.material.circularreveal.CircularRevealWidget,,,android.support.design.circularreveal,com.google.android.material.circularreveal,,
ExpandableTransformationWidget,android.support.design.expandable.ExpandableTransformationWidget,com.google.android.material.expandable.ExpandableTransformationWidget,,,android.support.design.expandable,com.google.android.material.expandable,,
ExpandableWidget,android.support.design.expandable.ExpandableWidget,com.google.android.material.expandable.ExpandableWidget,,,android.support.design.expandable,com.google.android.material.expandable,,
Experimental,android.support.design.internal.Experimental,com.google.android.material.internal.Experimental,,,android.support.design.internal,com.google.android.material.internal,,
NavigationMenuPresenter,android.support.design.internal.NavigationMenuPresenter,com.google.android.material.internal.NavigationMenuPresenter,,,android.support.design.internal,com.google.android.material.internal,,
R,android.support.design.R,com.google.android.material.R,,,android.support.design,com.google.android.material,,
ContentViewCallback,android.support.design.snackbar.ContentViewCallback,com.google.android.material.snackbar.ContentViewCallback,,,android.support.design.snackbar,com.google.android.material.snackbar,,
CircularBorderDrawableLollipop,android.support.design.widget.CircularBorderDrawableLollipop,com.google.android.material.internal.CircularBorderDrawableLollipop,,,android.support.design.widget,com.google.android.material.internal,,
CutoutDrawable,android.support.design.widget.CutoutDrawable,com.google.android.material.textfield.CutoutDrawable,,,android.support.design.widget,com.google.android.material.textfield,,
FloatingActionButtonImpl,android.support.design.widget.FloatingActionButtonImpl,com.google.android.material.floatingactionbutton.FloatingActionButtonImpl,,,android.support.design.widget,com.google.android.material.floatingactionbutton,,
FloatingActionButtonImplLollipop,android.support.design.widget.FloatingActionButtonImplLollipop,com.google.android.material.floatingactionbutton.FloatingActionButtonImplLollipop,,,android.support.design.widget,com.google.android.material.floatingactionbutton,,
IndicatorViewController,android.support.design.widget.IndicatorViewController,com.google.android.material.textfield.IndicatorViewController,,,android.support.design.widget,com.google.android.material.textfield,,
ShadowViewDelegate,android.support.design.widget.ShadowViewDelegate,com.google.android.material.shadow.ShadowViewDelegate,,,android.support.design.widget,com.google.android.material.shadow,,
SnackbarManager,android.support.design.widget.SnackbarManager,com.google.android.material.snackbar.SnackbarManager,,,android.support.design.widget,com.google.android.material.snackbar,,
ViewOffsetHelper,android.support.design.widget.ViewOffsetHelper,com.google.android.material.appbar.ViewOffsetHelper,,,android.support.design.widget,com.google.android.material.appbar,,
ViewUtilsLollipop,android.support.design.widget.ViewUtilsLollipop,com.google.android.material.appbar.ViewUtilsLollipop,,,android.support.design.widget,com.google.android.material.appbar,,
AndroidResources,android.support.graphics.drawable.AndroidResources,androidx.vectordrawable.graphics.drawable.AndroidResources,,,android.support.graphics.drawable,androidx.vectordrawable.graphics.drawable,,
Animatable2Compat,android.support.graphics.drawable.Animatable2Compat,androidx.vectordrawable.graphics.drawable.Animatable2Compat,,,android.support.graphics.drawable,androidx.vectordrawable.graphics.drawable,,
BaseRemoteMediaPlayerConnector,android.support.media2.BaseRemoteMediaPlayerConnector,android.support.media2.BaseRemoteMediaPlayerConnector,,,android.support.media2,android.support.media2,,
DataSourceDesc2,android.support.media2.DataSourceDesc2,android.support.media2.DataSourceDesc2,,,android.support.media2,android.support.media2,,
MediaPlayerConnector,android.support.media2.MediaPlayerConnector,android.support.media2.MediaPlayerConnector,,,android.support.media2,android.support.media2,,
MediaPlaylistAgent,android.support.media2.MediaPlaylistAgent,android.support.media2.MediaPlaylistAgent,,,android.support.media2,android.support.media2,,
MediaSession2,android.support.media2.MediaSession2,android.support.media2.MediaSession2,,,android.support.media2,android.support.media2,,
R,android.support.mediacompat.R,androidx.media.R,,,android.support.mediacompat,androidx.media,,
MultiDex,android.support.multidex.MultiDex,androidx.multidex.MultiDex,,,android.support.multidex,androidx.multidex,,
MultiDexApplication,android.support.multidex.MultiDexApplication,androidx.multidex.MultiDexApplication,,,android.support.multidex,androidx.multidex,,
MultiDexExtractor,android.support.multidex.MultiDexExtractor,androidx.multidex.MultiDexExtractor,,,android.support.multidex,androidx.multidex,,
ZipUtil,android.support.multidex.ZipUtil,androidx.multidex.ZipUtil,,,android.support.multidex,androidx.multidex,,
R,android.support.percent.R,androidx.percentlayout.R,,,android.support.percent,androidx.percentlayout,,
EmojiProcessor,android.support.text.emoji.EmojiProcessor,androidx.emoji.text.EmojiProcessor,,,android.support.text.emoji,androidx.emoji.text,,
MetadataListReader,android.support.text.emoji.MetadataListReader,androidx.emoji.text.MetadataListReader,,,android.support.text.emoji,androidx.emoji.text,,
R,android.support.text.emoji.R,androidx.emoji.R,,,android.support.text.emoji,androidx.emoji,,
EmojiEditableFactory,android.support.text.emoji.widget.EmojiEditableFactory,androidx.emoji.widget.EmojiEditableFactory,,,android.support.text.emoji.widget,androidx.emoji.widget,,
EmojiInputConnection,android.support.text.emoji.widget.EmojiInputConnection,androidx.emoji.widget.EmojiInputConnection,,,android.support.text.emoji.widget,androidx.emoji.widget,,
EmojiInputFilter,android.support.text.emoji.widget.EmojiInputFilter,androidx.emoji.widget.EmojiInputFilter,,,android.support.text.emoji.widget,androidx.emoji.widget,,
EmojiKeyListener,android.support.text.emoji.widget.EmojiKeyListener,androidx.emoji.widget.EmojiKeyListener,,,android.support.text.emoji.widget,androidx.emoji.widget,,
EmojiTextWatcher,android.support.text.emoji.widget.EmojiTextWatcher,androidx.emoji.widget.EmojiTextWatcher,,,android.support.text.emoji.widget,androidx.emoji.widget,,
EmojiTransformationMethod,android.support.text.emoji.widget.EmojiTransformationMethod,androidx.emoji.widget.EmojiTransformationMethod,,,android.support.text.emoji.widget,androidx.emoji.widget,,
AnimatorUtils,android.support.transition.AnimatorUtils,androidx.transition.AnimatorUtils,,,android.support.transition,androidx.transition,,
FloatArrayEvaluator,android.support.transition.FloatArrayEvaluator,androidx.transition.FloatArrayEvaluator,,,android.support.transition,androidx.transition,,
