HolderFragment                            ,android.arch.lifecycle.HolderFragment                                                     ,androidx.lifecycle.HolderFragment                                                              ,  ,  ,android.arch.lifecycle                                    ,androidx.lifecycle,  ,
TriangleEdgeTreatment                     ,android.support.design.shape.TriangleEdgeTreatment                                        ,com.google.android.material.shape.TriangleEdgeTreatment                                        ,  ,  ,android.support.design.shape                              ,com.google.android.material.shape,  ,
ExtendableSavedState                      ,android.support.design.stateful.ExtendableSavedState                                      ,com.google.android.material.stateful.ExtendableSavedState                                      ,  ,  ,android.support.design.stateful                           ,com.google.android.material.stateful,  ,
MaterialComponentsViewInflater            ,android.support.design.theme.MaterialComponentsViewInflater                               ,com.google.android.material.theme.MaterialComponentsViewInflater                               ,  ,  ,android.support.design.theme                              ,com.google.android.material.theme,  ,
ExpandableBehavior                        ,android.support.design.transformation.ExpandableBehavior                                  ,com.google.android.material.transformation.ExpandableBehavior                                  ,  ,  ,android.support.design.transformation                     ,com.google.android.material.transformation,  ,
ExpandableTransformationBehavior          ,android.support.design.transformation.ExpandableTransformationBehavior                    ,com.google.android.material.transformation.ExpandableTransformationBehavior                    ,  ,  ,android.support.design.transformation                     ,com.google.android.material.transformation,  ,
FabTransformationBehavior                 ,android.support.design.transformation.FabTransformationBehavior                           ,com.google.android.material.transformation.FabTransformationBehavior                           ,  ,  ,android.support.design.transformation                     ,com.google.android.material.transformation,  ,
FabTransformationScrimBehavior            ,android.support.design.transformation.FabTransformationScrimBehavior                      ,com.google.android.material.transformation.FabTransformationScrimBehavior                      ,  ,  ,android.support.design.transformation                     ,com.google.android.material.transformation,  ,
FabTransformationSheetBehavior            ,android.support.design.transformation.FabTransformationSheetBehavior                      ,com.google.android.material.transformation.FabTransformationSheetBehavior                      ,  ,  ,android.support.design.transformation                     ,com.google.android.material.transformation,  ,
TransformationChildCard                   ,android.support.design.transformation.TransformationChildCard                             ,com.google.android.material.transformation.TransformationChildCard                             ,  ,  ,android.support.design.transformation                     ,com.google.android.material.transformation,  ,
TransformationChildLayout                 ,android.support.design.transformation.TransformationChildLayout                           ,com.google.android.material.transformation.TransformationChildLayout                           ,  ,  ,android.support.design.transformation                     ,com.google.android.material.transformation,  ,
AppBarLayout                              ,android.support.design.widget.AppBarLayout                                                ,com.google.android.material.appbar.AppBarLayout                                                ,  ,  ,android.support.design.widget                             ,com.google.android.material.appbar,  ,
BaseTransientBottomBar                    ,android.support.design.widget.BaseTransientBottomBar                                      ,com.google.android.material.snackbar.BaseTransientBottomBar                                    ,  ,  ,android.support.design.widget                             ,com.google.android.material.snackbar,  ,
BottomNavigationView                      ,android.support.design.widget.BottomNavigationView                                        ,com.google.android.material.bottomnavigation.BottomNavigationView                              ,  ,  ,android.support.design.widget                             ,com.google.android.material.bottomnavigation,  ,
BottomSheetBehavior                       ,android.support.design.widget.BottomSheetBehavior                                         ,com.google.android.material.bottomsheet.BottomSheetBehavior                                    ,  ,  ,android.support.design.widget                             ,com.google.android.material.bottomsheet,  ,
BottomSheetDialog                         ,android.support.design.widget.BottomSheetDialog                                           ,com.google.android.material.bottomsheet.BottomSheetDialog                                      ,  ,  ,android.support.design.widget                             ,com.google.android.material.bottomsheet,  ,
BottomSheetDialogFragment                 ,android.support.design.widget.BottomSheetDialogFragment                                   ,com.google.android.material.bottomsheet.BottomSheetDialogFragment                              ,  ,  ,android.support.design.widget                             ,com.google.android.material.bottomsheet,  ,
CheckableImageButton                      ,android.support.design.widget.CheckableImageButton                                        ,com.google.android.material.internal.CheckableImageButton                                      ,  ,  ,android.support.design.widget                             ,com.google.android.material.internal,  ,
CircularBorderDrawable                    ,android.support.design.widget.CircularBorderDrawable                                      ,com.google.android.material.internal.CircularBorderDrawable                                    ,  ,  ,android.support.design.widget                             ,com.google.android.material.internal,  ,
CollapsingTextHelper                      ,android.support.design.widget.CollapsingTextHelper                                        ,com.google.android.material.internal.CollapsingTextHelper                                      ,  ,  ,android.support.design.widget                             ,com.google.android.material.internal,  ,
CollapsingToolbarLayout                   ,android.support.design.widget.CollapsingToolbarLayout                                     ,com.google.android.material.appbar.CollapsingToolbarLayout                                     ,  ,  ,android.support.design.widget                             ,com.google.android.material.appbar,  ,
DescendantOffsetUtils                     ,android.support.design.widget.DescendantOffsetUtils                                       ,com.google.android.material.internal.DescendantOffsetUtils                                     ,  ,  ,android.support.design.widget                             ,com.google.android.material.internal,  ,
DrawableUtils                             ,android.support.design.widget.DrawableUtils                                               ,com.google.android.material.internal.DrawableUtils                                             ,  ,  ,android.support.design.widget                             ,com.google.android.material.internal,  ,
FloatingActionButton                      ,android.support.design.widget.FloatingActionButton                                        ,com.google.android.material.floatingactionbutton.FloatingActionButton                          ,  ,  ,android.support.design.widget                             ,com.google.android.material.floatingactionbutton,  ,
HeaderBehavior                            ,android.support.design.widget.HeaderBehavior                                              ,com.google.android.material.appbar.HeaderBehavior                                              ,  ,  ,android.support.design.widget                             ,com.google.android.material.appbar,  ,
HeaderScrollingViewBehavior               ,android.support.design.widget.HeaderScrollingViewBehavior                                 ,com.google.android.material.appbar.HeaderScrollingViewBehavior                                 ,  ,  ,android.support.design.widget                             ,com.google.android.material.appbar,  ,
MathUtils                                 ,android.support.design.widget.MathUtils                                                   ,com.google.android.material.math.MathUtils                                                     ,  ,  ,android.support.design.widget                             ,com.google.android.material.math,  ,
NavigationView                            ,android.support.design.widget.NavigationView                                              ,com.google.android.material.navigation.NavigationView                                          ,  ,  ,android.support.design.widget                             ,com.google.android.material.navigation,  ,
ShadowDrawableWrapper                     ,android.support.design.widget.ShadowDrawableWrapper                                       ,com.google.android.material.shadow.ShadowDrawableWrapper                                       ,  ,  ,android.support.design.widget                             ,com.google.android.material.shadow,  ,
Snackbar                                  ,android.support.design.widget.Snackbar                                                    ,com.google.android.material.snackbar.Snackbar                                                  ,  ,  ,android.support.design.widget                             ,com.google.android.material.snackbar,  ,
SnackbarContentLayout                     ,android.support.design.widget.SnackbarContentLayout                                       ,com.google.android.material.snackbar.SnackbarContentLayout                                     ,  ,  ,android.support.design.widget                             ,com.google.android.material.snackbar,  ,
StateListAnimator                         ,android.support.design.widget.StateListAnimator                                           ,com.google.android.material.internal.StateListAnimator                                         ,  ,  ,android.support.design.widget                             ,com.google.android.material.internal,  ,
SwipeDismissBehavior                      ,android.support.design.widget.SwipeDismissBehavior                                        ,com.google.android.material.behavior.SwipeDismissBehavior                                      ,  ,  ,android.support.design.widget                             ,com.google.android.material.behavior,  ,
TabItem                                   ,android.support.design.widget.TabItem                                                     ,com.google.android.material.tabs.TabItem                                                       ,  ,  ,android.support.design.widget                             ,com.google.android.material.tabs,  ,
TabLayout                                 ,android.support.design.widget.TabLayout                                                   ,com.google.android.material.tabs.TabLayout                                                     ,  ,  ,android.support.design.widget                             ,com.google.android.material.tabs,  ,
TextInputEditText                         ,android.support.design.widget.TextInputEditText                                           ,com.google.android.material.textfield.TextInputEditText                                        ,  ,  ,android.support.design.widget                             ,com.google.android.material.textfield,  ,
TextInputLayout                           ,android.support.design.widget.TextInputLayout                                             ,com.google.android.material.textfield.TextInputLayout                                          ,  ,  ,android.support.design.widget                             ,com.google.android.material.textfield,  ,
ViewOffsetBehavior                        ,android.support.design.widget.ViewOffsetBehavior                                          ,com.google.android.material.appbar.ViewOffsetBehavior                                          ,  ,  ,android.support.design.widget                             ,com.google.android.material.appbar,  ,
VisibilityAwareImageButton                ,android.support.design.widget.VisibilityAwareImageButton                                  ,com.google.android.material.internal.VisibilityAwareImageButton                                ,  ,  ,android.support.design.widget                             ,com.google.android.material.internal,  ,
VectorDrawableCommon                      ,android.support.graphics.drawable.VectorDrawableCommon                                    ,androidx.vectordrawable.graphics.drawable.VectorDrawableCommon                                 ,  ,  ,android.support.graphics.drawable                         ,androidx.vectordrawable.graphics.drawable,  ,
VectorDrawableCompat                      ,android.support.graphics.drawable.VectorDrawableCompat                                    ,androidx.vectordrawable.graphics.drawable.VectorDrawableCompat                                 ,  ,  ,android.support.graphics.drawable                         ,androidx.vectordrawable.graphics.drawable,  ,
ExifInterface                             ,android.support.media.ExifInterface                                                       ,androidx.exifinterface.media.ExifInterface                                                     ,  ,  ,android.support.media                                     ,androidx.exifinterface.media,  ,
INotificationSideChannel                  ,android.support.v4.app.INotificationSideChannel                                           ,androidx.core.app.INotificationSideChannel                                                     ,  ,  ,android.support.v4.app                                    ,androidx.core.app,  ,
ColorStateListInflaterCompat              ,android.support.v4.content.res.ColorStateListInflaterCompat                               ,androidx.core.content.res.ColorStateListInflaterCompat                                         ,  ,  ,android.support.v4.content.res                            ,androidx.core.content.res,  ,
ComplexColorCompat                        ,android.support.v4.content.res.ComplexColorCompat                                         ,androidx.core.content.res.ComplexColorCompat                                                   ,  ,  ,android.support.v4.content.res                            ,androidx.core.content.res,  ,
ConfigurationHelper                       ,android.support.v4.content.res.ConfigurationHelper                                        ,androidx.core.content.res.ConfigurationHelper                                                  ,  ,  ,android.support.v4.content.res                            ,androidx.core.content.res,  ,
FontResourcesParserCompat                 ,android.support.v4.content.res.FontResourcesParserCompat                                  ,androidx.core.content.res.FontResourcesParserCompat                                            ,  ,  ,android.support.v4.content.res                            ,androidx.core.content.res,  ,
ResourcesCompat                           ,android.support.v4.content.res.ResourcesCompat                                            ,androidx.core.content.res.ResourcesCompat                                                      ,  ,  ,android.support.v4.content.res                            ,androidx.core.content.res,  ,
TypedArrayUtils                           ,android.support.v4.content.res.TypedArrayUtils                                            ,androidx.core.content.res.TypedArrayUtils                                                      ,  ,  ,android.support.v4.content.res                            ,androidx.core.content.res,  ,
SQLiteCursorCompat                        ,android.support.v4.database.sqlite.SQLiteCursorCompat                                     ,androidx.core.database.sqlite.SQLiteCursorCompat                                               ,  ,  ,android.support.v4.database.sqlite                        ,androidx.core.database.sqlite,  ,
AudioAttributesCompat                     ,android.support.v4.media.AudioAttributesCompat                                            ,androidx.media.AudioAttributesCompat                                                           ,  ,  ,android.support.v4.media                                  ,androidx.media,  ,
MediaBrowserCompatUtils                   ,android.support.v4.media.MediaBrowserCompatUtils                                          ,androidx.media.MediaBrowserCompatUtils                                                         ,  ,  ,android.support.v4.media                                  ,androidx.media,  ,
MediaBrowserProtocol                      ,android.support.v4.media.MediaBrowserProtocol                                             ,androidx.media.MediaBrowserProtocol                                                            ,  ,  ,android.support.v4.media                                  ,androidx.media,  ,
MediaBrowserServiceCompat                 ,android.support.v4.media.MediaBrowserServiceCompat                                        ,androidx.media.MediaBrowserServiceCompat                                                       ,  ,  ,android.support.v4.media                                  ,androidx.media,  ,
MediaSessionManager                       ,android.support.v4.media.MediaSessionManager                                              ,android.support.v4.media.MediaSessionManager                                                   ,  ,  ,android.support.v4.media                                  ,android.support.v4.media,  ,
VolumeProviderCompat                      ,android.support.v4.media.VolumeProviderCompat                                             ,androidx.media.VolumeProviderCompat                                                            ,  ,  ,android.support.v4.media                                  ,androidx.media,  ,
IResultReceiver                           ,android.support.v4.os.IResultReceiver                                                     ,androidx.core.os.IResultReceiver                                                               ,  ,  ,android.support.v4.os                                     ,androidx.core.os,  ,
ResultReceiver                            ,android.support.v4.os.ResultReceiver                                                      ,androidx.core.os.ResultReceiver                                                                ,  ,  ,android.support.v4.os                                     ,androidx.core.os,  ,
AccessibilityEventCompat                  ,android.support.v4.view.accessibility.AccessibilityEventCompat                            ,androidx.core.view.accessibility.AccessibilityEventCompat                                      ,  ,  ,android.support.v4.view.accessibility                     ,androidx.core.view.accessibility,  ,
AccessibilityManagerCompat                ,android.support.v4.view.accessibility.AccessibilityManagerCompat                          ,androidx.core.view.accessibility.AccessibilityManagerCompat                                    ,  ,  ,android.support.v4.view.accessibility                     ,androidx.core.view.accessibility,  ,
AccessibilityNodeInfoCompat               ,android.support.v4.view.accessibility.AccessibilityNodeInfoCompat                         ,androidx.core.view.accessibility.AccessibilityNodeInfoCompat                                   ,  ,  ,android.support.v4.view.accessibility                     ,androidx.core.view.accessibility,  ,
AccessibilityNodeProviderCompat           ,android.support.v4.view.accessibility.AccessibilityNodeProviderCompat                     ,androidx.core.view.accessibility.AccessibilityNodeProviderCompat                               ,  ,  ,android.support.v4.view.accessibility                     ,androidx.core.view.accessibility,  ,
AccessibilityRecordCompat                 ,android.support.v4.view.accessibility.AccessibilityRecordCompat                           ,androidx.core.view.accessibility.AccessibilityRecordCompat                                     ,  ,  ,android.support.v4.view.accessibility                     ,androidx.core.view.accessibility,  ,
AccessibilityWindowInfoCompat             ,android.support.v4.view.accessibility.AccessibilityWindowInfoCompat                       ,androidx.core.view.accessibility.AccessibilityWindowInfoCompat                                 ,  ,  ,android.support.v4.view.accessibility                     ,androidx.core.view.accessibility,  ,
LookupTableInterpolator                   ,android.support.v4.view.animation.LookupTableInterpolator                                 ,androidx.interpolator.view.animation.LookupTableInterpolator                                   ,  ,  ,android.support.v4.view.animation                         ,androidx.interpolator.view.animation,  ,
AnimatedStateListDrawableCompat           ,android.support.v7.graphics.drawable.AnimatedStateListDrawableCompat                      ,androidx.appcompat.graphics.drawable.AnimatedStateListDrawableCompat                           ,  ,  ,android.support.v7.graphics.drawable                      ,androidx.appcompat.graphics.drawable,  ,
DrawableWrapper                           ,android.support.v7.graphics.drawable.DrawableWrapper                                      ,androidx.appcompat.graphics.drawable.DrawableWrapper                                           ,  ,  ,android.support.v7.graphics.drawable                      ,androidx.appcompat.graphics.drawable,  ,
DrawerArrowDrawable                       ,android.support.v7.graphics.drawable.DrawerArrowDrawable                                  ,androidx.appcompat.graphics.drawable.DrawerArrowDrawable                                       ,  ,  ,android.support.v7.graphics.drawable                      ,androidx.appcompat.graphics.drawable,  ,
LayoutState                               ,android.support.v7.widget.LayoutState                                                     ,androidx.recyclerview.widget.LayoutState                                                       ,  ,  ,android.support.v7.widget                                 ,androidx.recyclerview.widget,  ,
RoundRectDrawableWithShadow               ,android.support.v7.widget.RoundRectDrawableWithShadow                                     ,androidx.cardview.widget.RoundRectDrawableWithShadow                                           ,  ,  ,android.support.v7.widget                                 ,androidx.cardview.widget,  ,
